,count,mean,std,min,25%,50%,75%,max
N,2200.0,50.551818181818184,36.9173338337566,0.0,21.0,37.0,84.25,140.0
P,2200.0,53.36272727272727,32.98588273858715,5.0,28.0,51.0,68.0,145.0
K,2200.0,48.14909090909091,50.64793054666013,5.0,20.0,32.0,49.0,205.0
temperature,2200.0,25.616243851779544,5.063748599958843,8.825674745,22.7693746325,25.5986932,28.5616539325,43.67549305
humidity,2200.0,71.48177921778637,22.263811589761083,14.25803981,60.2619528025,80.473145665,89.948770755,99.98187601
ph,2200.0,6.469480065256364,0.7739376880298733,3.504752314,5.97169279925,6.42504527,6.923642621250002,9.93509073
rainfall,2200.0,103.46365541576817,54.95838852487813,20.21126747,64.55168599999999,94.86762427,124.2675078,298.5601175
